bid,p_accept,expected_revenue
150,0.7727548480033875,115.91322720050812
155,0.7727548480033875,119.77700144052505
160,0.7695209383964539,123.12335014343262
165,0.7198169231414795,118.76979231834412
170,0.6936240792274475,117.91609346866608
175,0.6611860394477844,115.70755690336227
180,0.643467903137207,115.82422256469727
185,0.6405450701713562,118.5008379817009
190,0.6128948926925659,116.45002961158752
195,0.5791018009185791,112.92485117912292
200,0.5648144483566284,112.96288967132568
205,0.5978040099143982,122.54982203245163
210,0.5160218477249146,108.36458802223206
215,0.5160218477249146,110.94469726085663
220,0.5338185429573059,117.4400794506073
225,0.5146077275276184,115.78673869371414
230,0.44157400727272034,101.56202167272568
235,0.43394654989242554,101.97743922472
240,0.4358796179294586,104.61110830307007
245,0.43935441970825195,107.64183282852173
250,0.5449302792549133,136.23256981372833
255,0.5449302792549133,138.9572212100029
260,0.5899798274040222,153.39475512504578
265,0.5899798274040222,156.3446542620659
270,0.5899798274040222,159.294553399086
275,0.5880836248397827,161.72299683094025
280,0.5352346301078796,149.8656964302063
285,0.527278482913971,150.27436763048172
290,0.4983077943325043,144.50926035642624
295,0.4983077943325043,147.00079932808876
